SeqID,birdlow,birdmou,birdbho,birdsac,birdbak,birdgun,birddzo,oeco,othants,GI ,%overlap,length of match,E-value,ID,Phylum,Class,Order,Family,Genus,Species
seq684,0,0,0,0,0,0,0,1,0,gi|33325987|gb|AF518278.1|,84.466,103,2.11E-16,"Hydroporus scalesianus 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Dytiscidae,[5]Hydroporus,[6]Hydroporus_scalesianus
seq686,0,0,1,0,0,0,0,0,0,gi|27463922|gb|AF514498.1|,89.308,159,5.63E-47,"Japanese Meconematinae MCJ-2002 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Japanese_Meconematinae_sp._MCJ-2002,[6]Japanese_Meconematinae_sp._MCJ-2002
seq687,0,0,1,0,0,0,0,0,0,gi|1134614153|gb|KX943479.1|,79.47,151,7.60E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Galeruca,[6]Galeruca_interrupta
seq688,0,0,0,0,0,0,0,1,0,gi|388242785|gb|JQ917910.1|,88.05,159,1.22E-43,"Mecopoda elongata mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_elongata
seq691,0,0,0,0,0,0,0,1,0,gi|66270009|gb|DQ023049.1|,83.471,121,2.71E-20,"Cardiocondyla mauritanica isolate mauritanica2A 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Cardiocondyla,[6]Cardiocondyla_mauritanica
seq692,0,0,0,0,1,0,0,0,0,gi|302746934|gb|GU194569.1|,76.543,162,2.13E-11,"Myiomma kukai 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Myiomma,[6]Myiomma_kukai
seq693,0,0,0,0,1,0,0,0,0,gi|146198159|dbj|AB265377.1|,88.024,167,2.62E-45,"Alcis angulifera gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Alcis,[6]Alcis_angulifera
seq696,0,0,1,0,0,0,0,0,0,gi|293597375|dbj|AB253869.1|,91.875,160,3.34E-54,"Pterostichus niger mitochondrial gene for 16S rRNA, partial sequence, country: Russia:Primorsky, Lazovsky Pass",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Carabidae,[5]Pterostichus,[6]Pterostichus_niger
seq699,0,0,0,0,0,0,0,1,0,gi|388242785|gb|JQ917910.1|,87.5,152,7.15E-39,"Mecopoda elongata mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_elongata
seq700,0,0,0,0,0,0,0,1,0,gi|388242785|gb|JQ917910.1|,84.906,159,5.57E-35,"Mecopoda elongata mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_elongata
seq701,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,93.038,158,3.23E-57,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq702,0,0,1,0,0,0,0,0,0,gi|549465910|gb|KC992640.1|,90.683,161,1.17E-51,"Agraphydrus sp. SLE0252 16S ribosomal RNA gene, partial sequence",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Hydrophilidae,[5]Agraphydrus,[6]Agraphydrus_sp._SLE0252
seq703,0,0,0,1,0,0,0,0,0,gi|530311273|gb|KF163965.1|,91.358,162,7.00E-54,"Agrotis ipsilon mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Agrotis,[6]Agrotis_ipsilon
seq706,0,0,0,0,1,0,0,0,0,gi|418208572|gb|JQ512762.1|,80.469,128,2.06E-14,"Aceria sp. ADM-2012 haplotype 10 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Arachnida,[3]Trombidiformes,[4]Eriophyidae,[5]Aceria,[6]Aceria_sp._ADM-2012
seq708,0,0,1,0,0,0,0,0,0,gi|954038068|gb|KT183695.1|,82.143,112,2.06E-14,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Bundera,[6]Bundera_sp._2_YW-2015
seq709,1,0,0,0,0,0,0,0,0,gi|805487197|gb|KP682744.1|,82.203,118,3.42E-17,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Bruchidius,[6]Bruchidius_mulunguensis
seq710,0,0,1,0,0,0,0,0,0,gi|146198213|dbj|AB265431.1|,89.024,164,3.28E-47,"Trichopteryx miracula gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Trichopteryx,[6]Trichopteryx_miracula
seq711,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,92.079,101,5.60E-30,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq712,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,93.671,158,2.50E-58,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq713,0,0,1,0,0,0,0,0,0,gi|530311273|gb|KF163965.1|,89.441,161,3.28E-47,"Agrotis ipsilon mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Agrotis,[6]Agrotis_ipsilon
seq714,0,0,0,1,0,0,0,0,0,gi|146198213|dbj|AB265431.1|,86.585,164,4.27E-41,"Trichopteryx miracula gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Trichopteryx,[6]Trichopteryx_miracula
seq715,0,0,0,1,0,0,0,0,0,gi|955662172|emb|LN888325.1|,86.275,102,1.58E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Peribleptus,[6]Peribleptus_dealbatus
seq716,1,0,0,0,0,0,0,0,0,gi|1111812530|gb|KY196412.1|,92.073,164,4.18E-56,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Eudocima,[6]Eudocima_phalonia
seq717,1,0,0,0,0,0,0,0,0,gi|46812260|gb|AY572232.1|,100,159,4.07E-76,"Hyblaea puera 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Hyblaeidae,[5]Hyblaea,[6]Hyblaea_puera
seq718,0,0,0,0,0,1,0,0,0,gi|1247175931|gb|KY039134.1|,86.957,161,3.30E-42,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Aphrophoridae,[5]Peuceptyelus,[6]Peuceptyelus_minutus
seq719,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,91.139,158,1.17E-51,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq721,0,0,0,0,1,0,0,0,0,gi|321267272|gb|HQ333675.1|,80.667,150,3.40E-22,"Agriotes acuminatus voucher UPOL<CZE>:RK0003 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Agriotes,[6]Agriotes_acuminatus
seq723,0,0,0,0,0,0,0,1,0,gi|1384965909|gb|MF286854.1|,86.842,152,7.15E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Ectobiidae,[5]Sorineuchora,[6]Sorineuchora_nigra
seq724,0,0,0,1,0,0,0,0,0,gi|557900719|gb|KF676475.1|,83.871,93,9.58E-13,"Ethmostigmus rubripes rubripes voucher IZ130653 16S small subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Ethmostigmus,[6]Ethmostigmus_rubripes
seq726,1,0,0,0,0,0,0,0,0,gi|1246953244|gb|MF152838.1|,90.123,162,1.51E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Athetis,[6]Athetis_lepigone
seq727,0,0,1,0,0,0,0,0,0,gi|827195812|gb|KP763152.1|,87.059,85,4.43E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Colaspidea,[6]Colaspidea_globosa
seq728,0,0,0,0,0,1,0,0,0,gi|472455871|gb|KC236225.1|,78.986,138,2.66E-13,"Willowsia sp. 2 FZ-2013 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Entomobryidae,[5]Willowsia,[6]Willowsia_sp._2_FZ-2013
seq729,0,0,0,0,0,0,0,1,0,gi|16755733|gb|AF426283.1|,88,100,9.45E-23,"Notopsalta sericea large subunit ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadidae,[5]Notopsalta,[6]Notopsalta_sericea
seq730,0,0,0,1,0,0,0,0,0,gi|170516352|gb|EU364518.1|,84.146,164,2.59E-33,"Euparatettix erythronotus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tetrigidae,[5]Euparatettix,[6]Euparatettix_erythronotus
seq731,0,0,0,0,0,1,0,0,0,gi|1015602337|gb|KT956353.1|,94.969,159,3.21E-62,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Lauxaniidae,[5]Pachycerina,[6]Pachycerina_pulchra
seq732,0,0,0,0,0,1,0,0,0,gi|270741325|gb|GU145257.1|,99.367,158,6.80E-74,"Paregle audacula isolate CSU09100410I3 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Anthomyiidae,[5]Paregle,[6]Paregle_audacula
seq733,0,0,0,0,1,0,0,0,0,gi|357062875|gb|HQ619651.1|,89.571,163,2.53E-48,"Charopus concolor voucher UPOL001094 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Melyridae,[5]Charopus,[6]Charopus_concolor
seq734,0,0,0,0,0,1,0,0,0,gi|1358957472|gb|MF417804.1|,84.848,165,1.55E-35,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Ectropis,[6]Ectropis_obliqua
seq735,0,0,1,0,0,0,0,0,0,gi|1150147233|ref|NC_033853.1|,86.624,157,1.99E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Pseudocosmetura,[6]Pseudocosmetura_anjiensis
seq736,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,91,100,9.38E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq737,0,0,0,0,0,0,0,1,0,gi|1243413537|gb|KX437739.1|,81.679,131,9.51E-18,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Osbornellus,[6]Osbornellus_sp._EMHAU-2015-Zz052506
seq738,0,0,0,1,0,0,0,0,0,gi|321267292|gb|HQ333699.1|,84.672,137,9.38E-28,"Agriotes ustulatus voucher UPOL<CZE>:RK0033 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Agriotes,[6]Agriotes_ustulatus
seq739,1,0,0,0,0,0,0,0,0,gi|530311273|gb|KF163965.1|,100,161,3.14E-77,"Agrotis ipsilon mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Agrotis,[6]Agrotis_ipsilon
seq743,1,0,0,0,0,0,0,0,0,gi|109676535|gb|DQ648648.1|,93.082,159,3.23E-57,"Delina nigrita 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Scathophagidae,[5]Delina,[6]Delina_nigrita
seq749,0,0,1,0,0,0,0,0,0,gi|1150147233|ref|NC_033853.1|,82.166,157,9.38E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Pseudocosmetura,[6]Pseudocosmetura_anjiensis
seq750,0,0,0,0,0,0,0,1,0,gi|158324440|gb|EF641129.1|,83.871,124,1.22E-21,"Cydninae sp. 2 WCW-2007 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cydnidae,[5]Cydninae_sp._2_WCW-2007,[6]Cydninae_sp._2_WCW-2007
seq751,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,94.937,158,1.15E-61,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq752,0,0,1,0,0,0,0,0,0,gi|94480606|emb|AJ862742.1|,89.375,160,2.53E-48,"Dascillus cervinus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Dascillidae,[5]Dascillus,[6]Dascillus_cervinus
seq754,0,0,1,0,0,0,0,0,0,gi|758274239|gb|KP073299.1|,87.273,165,1.54E-40,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Nymphalidae,[5]Heliconius,[6]Heliconius_himera
seq756,1,0,0,0,0,0,0,0,0,gi|688537621|gb|KF661730.1|,83.333,138,2.03E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Tingidae,[5]Teleonemia,[6]Teleonemia_scrupulosa
seq757,0,0,0,1,0,0,0,0,0,gi|1005352215|gb|KU366707.1|,85.714,168,7.15E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Gelechiidae,[5]Mesophleps,[6]Mesophleps_albilinella
seq758,0,0,0,0,1,1,0,0,0,gi|1126363192|dbj|LC061488.1|,100,158,1.46E-75,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Drosophilidae,[5]Scaptomyza,[6]Scaptomyza_pallida
seq759,0,0,0,0,1,0,0,0,0,gi|954038068|gb|KT183695.1|,85,100,4.43E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Bundera,[6]Bundera_sp._2_YW-2015
seq760,0,0,0,0,0,0,0,0,1,gi|296248701|gb|HM015971.1|,81.325,166,2.03E-24,"Pheidole xanthogaster voucher ALMCH1085_8 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pheidole,[6]Pheidole_xanthogaster
seq761,0,0,0,1,0,0,0,0,0,gi|542129874|gb|KC186000.1|,88.535,157,2.02E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Mandarella,[6]Mandarella_flaviventris
seq762,1,0,0,0,0,0,0,0,0,gi|962094378|gb|KR903694.1|,82.803,157,7.43E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Landreva,[6]Landreva_sp._n._India
seq764,0,0,0,0,0,0,0,1,0,gi|390432800|gb|JN172633.1|,85.976,164,2.64E-38,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadidae,[5]Scieroptera,[6]Scieroptera_splendidula
seq765,0,0,0,1,0,1,0,0,0,gi|694176941|dbj|AB856933.1|,89.655,145,2.62E-43,N/A,[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Caeciliusidae,[5]Caecilius,[6]Caecilius_fuscopterus
seq767,0,0,0,1,0,0,0,0,0,gi|158832211|dbj|AB363720.1|,91.241,137,7.28E-44,"Cacopsylla qianli mitochondrial gene for 16S rRNA, partial sequence, isolate: MC-Q",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_qianli
seq768,0,0,0,0,1,0,0,0,0,gi|401785659|gb|JX433429.1|,81.818,121,3.51E-17,"Deltocephalus sp. GMB-2012 clone og03n 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Deltocephalus,[6]Deltocephalus_sp._GMB-2012
seq769,0,0,0,0,1,0,0,0,0,gi|296426073|gb|HM051206.1|,90,160,2.01E-49,"Harpalus herbivagus voucher CSU10020220061A 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Carabidae,[5]Harpalus,[6]Harpalus_herbivagus
seq770,1,0,0,0,0,0,0,0,0,gi|126678898|gb|EF363278.1|,78.882,161,2.71E-18,"Pycnoscelus surinamensis voucher G14 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Blaberidae,[5]Pycnoscelus,[6]Pycnoscelus_surinamensis
seq771,0,0,1,0,0,0,0,0,0,gi|764697715|gb|KM978386.1|,80.741,135,3.51E-17,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Paronellidae,[5]Salina,[6]Salina_sp._BXW-2014
seq772,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,86.452,155,3.41E-37,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq773,0,0,0,0,0,0,0,1,0,gi|953966638|dbj|LC099178.1|,87,100,4.50E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_sichuanense
seq774,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,96.203,158,5.47E-65,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq775,0,0,0,0,1,0,0,0,0,gi|705248766|gb|KM099034.1|,90,160,5.58E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Mythimna,[6]Mythimna_separata
seq776,1,0,0,0,0,0,0,0,0,gi|26005732|dbj|AB052804.1|,86.765,136,1.23E-31,"Euborellia annulipes mitochondrial gene for 16S ribosomal RNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Dermaptera,[4]Anisolabididae,[5]Euborellia,[6]Euborellia_annulipes
seq780,0,0,1,0,0,0,0,0,0,gi|296124705|gb|GU569199.1|,87.5,136,2.05E-34,"Kaestneriella sp. 11.24.2003.5 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Peripsocidae,[5]Kaestneriella,[6]Kaestneriella_sp._11.24.2003.5
seq782,0,0,1,0,0,0,0,0,0,gi|302746927|gb|GU194562.1|,85.093,161,1.59E-35,"Loristes decoratus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Loristes,[6]Loristes_decoratus
seq783,0,0,1,0,0,0,0,0,0,gi|1254399575|gb|KY595501.1|,83.158,95,9.82E-13,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Paranisitra,[6]Paranisitra_maculata
seq786,0,0,1,0,0,0,0,0,0,gi|1254399575|gb|KY595501.1|,83.158,95,9.82E-13,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Paranisitra,[6]Paranisitra_maculata
seq787,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,84.277,159,3.43E-32,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq788,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,89.873,158,2.60E-48,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq789,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,87.975,158,2.62E-43,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq790,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,87.234,94,5.83E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq791,0,0,0,0,0,0,0,1,0,gi|953966639|dbj|LC099179.1|,88.571,70,9.82E-13,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Sastragala,[6]Sastragala_esakii
seq792,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,93.671,158,2.56E-58,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq794,1,0,0,0,0,0,0,0,0,gi|746590575|gb|KP253961.1|,82.178,101,9.82E-13,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pseudomyrmex,[6]Pseudomyrmex_sp._BOLD:ACA3616
seq795,0,0,0,1,0,0,0,0,0,gi|12002709|gb|AF158029.1|AF158029,84.568,162,2.65E-33,"Rhotala formosana 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Achilidae,[5]Rhotala,[6]Rhotala_formosana
seq796,0,0,0,0,0,0,0,1,0,gi|1152524733|gb|KU900579.1|,91.772,158,2.58E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Macrotermes,[6]Macrotermes_annandalei
seq798,0,0,0,0,1,0,0,0,0,gi|1150147233|ref|NC_033853.1|,88.535,157,2.02E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Pseudocosmetura,[6]Pseudocosmetura_anjiensis
seq802,0,0,0,0,1,0,0,0,0,gi|146198175|dbj|AB265393.1|,91.515,165,5.55E-55,"Lassaba nikkonis gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Lassaba,[6]Lassaba_nikkonis
seq804,0,1,0,0,0,0,0,0,0,gi|1187834198|gb|KX099549.1|,84.375,160,3.43E-32,N/A,[1]Arthropoda,[2]Insecta,[3]Neuroptera,[4]Chrysopidae,[5]Chrysoperla,[6]Chrysoperla_defreitasi
seq805,0,0,0,1,0,0,0,0,0,gi|1116083688|gb|KY084178.1|,84.81,158,7.38E-34,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Brentidae,[5]Ceratapion,[6]Ceratapion_calcaratum
seq806,0,0,1,0,0,0,0,0,0,gi|1245686463|gb|KX437728.1|,87.421,159,1.57E-40,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Membracidae,[5]Centrotus,[6]Centrotus_cornutus
seq810,0,0,1,0,0,0,0,0,0,gi|146198166|dbj|AB265384.1|,83.626,171,3.74E-32,"Chariaspilates formosaria gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Chariaspilates,[6]Chariaspilates_formosaria
seq811,0,0,1,0,0,0,0,0,0,gi|302746946|gb|GU194581.1|,90.506,158,1.69E-50,"Phytocoris intricatus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Phytocoris,[6]Phytocoris_intricatus
seq812,0,0,1,0,0,0,0,0,0,gi|157420412|gb|EF662108.1|,85.417,144,3.74E-32,"Blastopsocus sp. KY300 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Psocidae,[5]Blastopsocus,[6]Blastopsocus_sp._KY300
seq813,0,0,0,0,0,1,0,0,0,gi|663337761|gb|KJ136724.1|,87.273,165,7.93E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Bibionidae,[5]Bibio,[6]Bibio_marci
seq814,0,0,0,0,1,0,0,0,0,gi|666668166|gb|KF935485.1|,79.755,163,4.91E-21,N/A,[1]Nemertea,[2]Enopla,[3]Monostilifera,[4]Plectonemertidae,[5]Plectonemertidae,[6]Plectonemertidae_sp._NT59
seq815,0,0,1,0,0,0,0,0,0,gi|27463922|gb|AF514498.1|,88.608,158,6.13E-45,"Japanese Meconematinae MCJ-2002 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Japanese_Meconematinae_sp._MCJ-2002,[6]Japanese_Meconematinae_sp._MCJ-2002
seq816,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,89.873,158,2.83E-48,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq817,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,86.709,158,6.17E-40,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq818,0,0,0,1,0,0,0,0,0,gi|1036229483|gb|KT876879.1|,81.25,144,4.91E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Agriotes,[6]Agriotes_sp._BMNH_1425233
seq820,1,0,0,0,0,0,0,0,0,gi|732559179|gb|KM492929.1|,82.051,117,1.37E-16,N/A,[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Edentistoma,[6]Edentistoma_octosulcatum
seq821,1,0,0,0,0,0,0,0,0,gi|732559179|gb|KM492929.1|,80.556,144,2.95E-18,N/A,[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Edentistoma,[6]Edentistoma_octosulcatum
seq823,0,0,0,0,0,1,0,0,0,gi|422899332|gb|JQ613948.1|,90.566,159,1.69E-50,"Phytosciara ussuriensis voucher 883 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Sciaridae,[5]Phytosciara,[6]Phytosciara_ussuriensis
